JN202305170049_DeltaP,,JN202305170050_DeltaP,,JN202305170051_DeltaP,,JN202305170052_DeltaP,,JN202305170053_DeltaP,,JN202305170054_DeltaP,,JN202305170055_DeltaP,,JN202305170056_DeltaP,,JN202305170057_DeltaP,,JN202305170058_DeltaP,,JN202305170059_DeltaP,
-6.8e-08,2.5448466e-05,-6.8e-08,-0.00011748428,-6.8e-08,-6.0798225e-06,-6.8e-08,-7.5947173e-05,-6.8e-08,6.3668456e-05,-6.8e-08,2.5190073e-05,-6.8e-08,4.5245641e-05,-6.8e-08,0.0001020275,-6.8e-08,3.6338799e-05,-6.8e-08,-9.9959849e-05,-6.8e-08,-3.3028242e-05
-6.6e-08,5.3918397e-05,-6.6e-08,-0.00010229374,-6.6e-08,3.0217469e-05,-6.6e-08,-6.7916189e-05,-6.6e-08,2.6195985e-05,-6.6e-08,7.0953014e-05,-6.6e-08,5.3033211e-05,-6.6e-08,-4.7556245e-05,-6.6e-08,0.00011603127,-6.6e-08,-0.00012198852,-6.6e-08,-8.5412343e-05
-6.4e-08,0.0001133305,-6.4e-08,-7.0595204e-05,-6.4e-08,6.6525579e-05,-6.4e-08,-7.3142779e-05,-6.4e-08,2.120257e-05,-6.4e-08,-5.5677254e-05,-6.4e-08,5.2266725e-05,-6.4e-08,5.9032638e-05,-6.4e-08,4.9588907e-05,-6.4e-08,9.9854013e-05,-6.4e-08,-9.0960875e-06
-6.2e-08,0.00010746036,-6.2e-08,-7.7256344e-05,-6.2e-08,3.5215635e-05,-6.2e-08,-5.3447769e-05,-6.2e-08,4.4186894e-05,-6.2e-08,5.5281329e-05,-6.2e-08,0.00012240064,-6.2e-08,-1.2347631e-05,-6.2e-08,2.5990323e-05,-6.2e-08,9.819027e-05,-6.2e-08,-1.7448239e-05
-6e-08,8.1477658e-05,-6e-08,-4.7408415e-05,-6e-08,4.087948e-05,-6e-08,-5.6264711e-05,-6e-08,2.2130987e-06,-6e-08,1.2660405e-05,-6e-08,0.00019718119,-6e-08,-6.5145272e-05,-6e-08,8.0584527e-05,-6e-08,0.0001015749,-6e-08,1.867547e-05
-5.8e-08,7.8990437e-05,-5.8e-08,-7.5117328e-05,-5.8e-08,1.7558024e-05,-5.8e-08,-5.5053864e-05,-5.8e-08,1.421266e-05,-5.8e-08,-5.5677254e-05,-5.8e-08,0.00012240064,-5.8e-08,-6.9053676e-05,-5.8e-08,7.0285852e-05,-5.8e-08,1.6404556e-06,-5.8e-08,-4.8378519e-05
-5.6e-08,0.00011603966,-5.6e-08,-5.5404984e-05,-5.6e-08,6.0861745e-05,-5.6e-08,-7.9567668e-05,-5.6e-08,2.7194543e-05,-5.6e-08,1.0770495e-05,-5.6e-08,8.2649552e-05,-5.6e-08,-1.9202611e-05,-5.6e-08,4.9588907e-05,-5.6e-08,2.8774652e-05,-5.6e-08,3.7688123e-06
-5.4e-08,0.00011355979,-5.4e-08,-2.7163229e-05,-5.4e-08,0.00012880743,-5.4e-08,-8.9204746e-05,-5.4e-08,8.712158e-06,-5.4e-08,-2.7454746e-05,-5.4e-08,0.00015510629,-5.4e-08,3.4588629e-05,-5.4e-08,0.0001086324,-5.4e-08,9.480564e-05,-5.4e-08,7.3864039e-06
-5.2e-08,6.2046165e-05,-5.2e-08,-5.7535002e-05,-5.2e-08,0.00014279781,-5.2e-08,3.2127307e-05,-5.2e-08,5.8167338e-05,-5.2e-08,-1.9936633e-05,-5.2e-08,7.0190021e-05,-5.2e-08,-5.8320846e-05,-5.2e-08,2.8939914e-05,-5.2e-08,2.5390022e-05,-5.2e-08,6.9476402e-05
-5e-08,2.7935679e-05,-5e-08,-4.2471916e-06,-5e-08,7.1185714e-05,-5e-08,4.8202328e-05,-5e-08,7.2221269e-06,-5e-08,1.9561869e-05,-5e-08,0.00012005249,-5e-08,-6.8093075e-05,-5e-08,3.3389209e-05,-5e-08,-0.00023035597,-5e-08,9.5664778e-05
-4.8e-08,6.9048932e-05,-4.8e-08,-1.224376e-05,-4.8e-08,3.1221181e-05,-4.8e-08,-2.0099435e-05,-4.8e-08,4.2189778e-05,-4.8e-08,-0.00010016694,-4.8e-08,0.000102921,-4.8e-08,-0.00013847974,-4.8e-08,-0.00010534492,-4.8e-08,1.8563607e-05,-4.8e-08,9.6338124e-05
-4.6e-08,1.393043e-05,-4.6e-08,-1.9699164e-05,-4.6e-08,2.8886125e-05,-4.6e-08,8.429608e-06,-4.6e-08,5.7676487e-05,-4.6e-08,-2.307943e-05,-4.6e-08,7.8427056e-06,-4.6e-08,-0.00012870751,-4.6e-08,-2.1252954e-05,-4.6e-08,-7.9649944e-05,-4.6e-08,2.3639463e-05
-4.4e-08,2.7484151e-05,-4.4e-08,1.5735905e-05,-4.4e-08,5.153066e-05,-4.4e-08,7.5125274e-05,-4.4e-08,4.1191219e-05,-4.4e-08,1.5803203e-05,-4.4e-08,5.5382337e-05,-4.4e-08,-9.6445481e-05,-4.4e-08,-5.5200006e-05,-4.4e-08,-4.746738e-05,-4.4e-08,4.8473827e-05
-4.2e-08,3.7642758e-07,-4.2e-08,1.8931269e-05,-4.2e-08,-9.7466436e-06,-4.2e-08,9.5215531e-05,-4.2e-08,-7.7731092e-06,-4.2e-08,-1.178228e-05,-4.2e-08,6.6283574e-05,-4.2e-08,3.3939702e-07,-4.2e-08,6.7930732e-06,-4.2e-08,0.00015068272,-4.2e-08,2.770068e-05
-4e-08,-1.4080631e-05,-4e-08,-2.0502419e-05,-4e-08,1.0900878e-05,-4e-08,7.2716131e-05,-4e-08,6.2669278e-05,-4e-08,-0.00010205685,-4e-08,1.7187594e-05,-4e-08,-4.4608445e-05,-4e-08,-3.010173e-05,-4e-08,9.6469383e-05,-4e-08,5.5020992e-05
-3.8e-08,3.222928e-05,-3.8e-08,-3.9149752e-05,-3.8e-08,2.3221866e-05,-3.8e-08,6.5488195e-05,-3.8e-08,7.2306716e-07,-3.8e-08,-3.5609097e-05,-3.8e-08,3.4344404e-05,-3.8e-08,6.2349977e-06,-3.8e-08,-9.5044401e-05,-3.8e-08,8.4651751e-05,-3.8e-08,2.9283852e-05
-3.6e-08,-1.2274239e-05,-3.6e-08,-7.7256344e-05,-3.6e-08,-2.5734869e-05,-3.6e-08,7.6265601e-06,-3.6e-08,-9.2793771e-06,-3.6e-08,-4.6269226e-05,-3.6e-08,-1.0079617e-05,-3.6e-08,-6.4183449e-05,-3.6e-08,-5.560039e-07,-3.6e-08,7.4495736e-05,-3.6e-08,-5.9216622e-05
