JN202305170037_DeltaP,,JN202305170038_DeltaP,,JN202305170039_DeltaP,,JN202305170040_DeltaP,,JN202305170041_DeltaP,,JN202305170042_DeltaP,,JN202305170043_DeltaP,,JN202305170044_DeltaP,,JN202305170046_DeltaP,,JN202305170045_DeltaP,,JN202305170047_DeltaP,
-1e-07,3.3208213e-05,-1e-07,4.3993587e-05,-1e-07,-1.6558179e-05,-1e-07,1.0266487e-05,-1e-07,-2.4419149e-05,-1e-07,-6.2628089e-05,-1e-07,-8.3852981e-05,-1e-07,-0.00016367692,-1e-07,0.0001052763,-1e-07,4.6995545e-05,-1e-07,1.5658257e-05
-9.8e-08,7.4180978e-05,-9.8e-08,4.8649021e-05,-9.8e-08,-2.5956075e-05,-9.8e-08,4.0327477e-06,-9.8e-08,-6.3291256e-05,-9.8e-08,-2.5284651e-05,-9.8e-08,-4.6839792e-05,-9.8e-08,-8.8952234e-05,-9.8e-08,5.5924043e-05,-9.8e-08,-3.3700449e-05,-9.8e-08,-3.3901531e-05
-9.6e-08,6.8049827e-05,-9.6e-08,2.0978794e-05,-9.6e-08,1.5566565e-06,-9.6e-08,-6.418657e-06,-9.6e-08,-4.3855202e-05,-9.6e-08,-5.018001e-05,-9.6e-08,-9.008206e-05,-9.6e-08,-1.3714591e-05,-9.6e-08,5.5924043e-05,-9.6e-08,3.342182e-05,-9.6e-08,7.3089854e-05
-9.4e-08,-1.9050236e-05,-9.4e-08,2.3490704e-06,-9.4e-08,1.2955057e-05,-9.4e-08,-2.0903213e-05,-9.4e-08,-3.4627206e-05,-9.4e-08,-6.1351995e-05,-9.4e-08,-9.3196111e-05,-9.4e-08,-3.7150327e-05,-9.4e-08,-0.00014142768,-9.4e-08,0.00015769408,-9.4e-08,2.2440252e-05
-9.2e-08,3.6388676e-05,-9.2e-08,8.2073566e-06,-9.2e-08,1.4472104e-05,-9.2e-08,2.9785697e-05,-9.2e-08,-7.9556676e-06,-9.2e-08,-2.7188815e-05,-9.2e-08,-2.3075438e-05,-9.2e-08,-6.2570689e-05,-9.2e-08,-9.0317197e-05,-9.2e-08,1.128104e-05,-9.2e-08,1.6569734e-06
-9e-08,6.1911276e-05,-9e-08,6.3417242e-06,-9e-08,2.6046195e-05,-9e-08,2.9376952e-05,-9e-08,1.2476643e-05,-9e-08,-6.1038358e-05,-9e-08,-3.3999931e-05,-9e-08,-0.00013828831,-9e-08,6.1993946e-05,-9e-08,-3.9410628e-05,-9e-08,-3.1453371e-07
-8.8e-08,4.5700297e-05,-8.8e-08,1.4989813e-05,-8.8e-08,6.7556257e-06,-8.8e-08,4.6390783e-06,-8.8e-08,4.7608577e-05,-8.8e-08,8.2297092e-06,-8.8e-08,-2.8154514e-05,-8.8e-08,-0.00016563041,-8.8e-08,8.3663792e-05,-8.8e-08,-0.00010086736,-8.8e-08,3.3710028e-05
-8.6e-08,5.3809872e-06,-8.6e-08,-1.9462539e-05,-8.6e-08,-2.0756686e-05,-8.6e-08,-7.7206467e-05,-8.6e-08,2.0692183e-05,-8.6e-08,-5.4936618e-06,-8.6e-08,-0.00014110847,-8.6e-08,-0.00016662272,-8.6e-08,3.7771697e-05,-8.6e-08,-9.4063034e-06,-8.6e-08,6.2257364e-05
-8.4e-08,-1.2143754e-05,-8.4e-08,-9.5420066e-05,-8.4e-08,-9.6882786e-06,-8.4e-08,-2.0903213e-05,-8.4e-08,-4.8837115e-05,-8.4e-08,-1.9790232e-06,-8.4e-08,-7.3336494e-05,-8.4e-08,1.365865e-05,-8.4e-08,-1.200072e-06,-8.4e-08,7.0586189e-05,-8.4e-08,3.315815e-05
-8.2e-08,6.6947473e-06,-8.2e-08,-6.2833351e-05,-8.2e-08,1.3801636e-05,-8.2e-08,2.4553457e-05,-8.2e-08,-1.6693948e-05,-8.2e-08,-7.6686643e-05,-8.2e-08,-2.7771834e-05,-8.2e-08,1.3178675e-05,-8.2e-08,7.9295845e-05,-8.2e-08,6.9836264e-05,-8.2e-08,3.9180148e-05
-8e-08,-2.2776529e-05,-8e-08,-9.4895504e-06,-8e-08,4.7348592e-05,-8e-08,-4.6132404e-06,-8e-08,1.3228041e-05,-8e-08,-6.7732457e-05,-8e-08,3.4946392e-05,-8e-08,-0.00012167237,-8e-08,0.00010442587,-8e-08,-9.4063034e-06,-8e-08,3.2175816e-05
-7.8e-08,-2.9015313e-05,-7.8e-08,5.0906736e-05,-7.8e-08,1.4472104e-05,-7.8e-08,-7.912484e-07,-7.8e-08,1.0973845e-05,-7.8e-08,-9.8380995e-05,-7.8e-08,3.4562738e-05,-7.8e-08,-6.695764e-05,-7.8e-08,0.00011219772,-7.8e-08,-6.3001273e-05,-7.8e-08,3.8742855e-05
-7.6e-08,-9.0783133e-06,-7.6e-08,2.1240516e-05,-7.6e-08,2.0623388e-06,-7.6e-08,3.0312469e-06,-7.6e-08,-6.2295003e-05,-7.6e-08,4.8774145e-05,-7.6e-08,3.0658e-05,-7.6e-08,7.2882917e-06,-7.6e-08,8.3663792e-05,-7.6e-08,2.1999676e-05,-7.6e-08,3.4692093e-05
-7.4e-08,-5.1367601e-06,-7.4e-08,-1.3732164e-06,-7.4e-08,3.4433142e-05,-7.4e-08,-3.517661e-05,-7.4e-08,-1.5680869e-05,-7.4e-08,3.760216e-05,-7.4e-08,-1.8020704e-05,-7.4e-08,5.8471451e-06,-7.4e-08,6.6291209e-06,-7.4e-08,2.9161505e-05,-7.4e-08,6.379158e-05
