% Model:              final_cavity_sample_res_only.mph
% Version:            COMSOL 5.6.0.401
% Date:               May 3 2023, 20:04
% Table:              Table 28 - power_refl
% sample_conductivity (S/m)freq=8.5012, abs(emw.S11)^2 (1)
1.0E-6                   0.6409797362003882
0.001                    0.6409797362003908
0.001122018454301963     0.6409797362003926
0.0012589254117941675    0.6409797362003941
0.001412537544622754     0.6409797362003957
0.001584893192461114     0.6409797362003967
0.0017782794100389228    0.6409797362003984
0.001995262314968879     0.6409797362004005
0.00223872113856834      0.6409797362004026
0.0025118864315095794    0.6409797362004049
0.002818382931264455     0.6409797362004067
0.0031622776601683794    0.6409797362004082
0.0035481338923357532    0.6409797362004099
0.003981071705534973     0.6409797362004118
0.0044668359215096305    0.640979736200414
0.005011872336272725     0.6409797362004176
0.005623413251903491     0.6409797362004211
0.00630957344480193      0.6409797362004245
0.00707945784384138      0.6409797362004278
0.007943282347242814     0.6409797362004314
0.008912509381337459     0.6409797362004341
0.01                     0.6409797362004368
0.011220184543019636     0.6409797362004389
0.012589254117941675     0.6409797362004404
0.014125375446227547     0.6409797362004417
0.01584893192461114      0.6409797362004435
0.01778279410038923      0.6409797362004448
0.0199526231496888       0.6409797362004463
0.0223872113856834       0.6409797362004478
0.025118864315095808     0.640979736200449
0.02818382931264455      0.6409797362004506
0.03162277660168379      0.6409797362004522
0.03548133892335755      0.6409797362004541
0.039810717055349734     0.6409539311916231
0.04466835921509633      0.6408996740659523
0.05011872336272725      0.6408996740659553
0.05623413251903491      0.6408996740659579
0.06309573444801933      0.640899674065961
0.0707945784384138       0.6407093545170767
0.07943282347242818      0.6407093545170786
0.08912509381337459      0.6407093545170808
0.1                      0.6407093545170826
0.11220184543019641      0.6407093545170844
0.12589254117941676      0.6404214940942294
0.1412537544622754       0.6402201307129824
0.15848931924611143      0.6398528330274176
0.1778279410038923       0.6397772432634276
0.19952623149688808      0.6391510425699347
0.223872113856834        0.6382289456077236
0.25118864315095824      0.6382289456077253
0.2818382931264455       0.637212710431785
0.31622776601683794      0.6366929546924278
0.3548133892335757       0.6353832108397005
0.3981071705534973       0.6346534520532109
0.4466835921509635       0.6334037694962993
0.5011872336272725       0.6319268536226329
0.5623413251903491       0.63060286218707
0.6309573444801936       0.6288704146902779
0.707945784384138        0.6269976406281551
0.7943282347242822       0.6246547987780617
0.8912509381337459       0.6225050778259748
1                        0.6199350688869194
1.1220184543019642       0.6169154766036591
1.2589254117941675       0.6140824240563226
1.4125375446227555       0.6102353567904242
1.584893192461114        0.6064348694495592
1.7782794100389228       0.6019001541704525
1.9952623149688808       0.5972330202609687
2.23872113856834         0.5918796433974455
2.5118864315095824       0.585671994663174
2.818382931264455        0.5794319344330131
3.1622776601683795       0.5722631300665778
3.548133892335757        0.5643028654875655
3.981071705534973        0.5553760375609504
4.4668359215096345       0.5455662274000526
5.011872336272725        0.5346062419082129
5.623413251903491        0.5228296013120717
6.309573444801936        0.509661949494791
7.07945784384138         0.49525720883371527
7.943282347242821        0.4796734962901939
8.91250938133746         0.46268329929365315
10                       0.44428063224452574
11.220184543019629       0.4244592766961891
12.589254117941687       0.4031753288529775
14.125375446227554       0.38039932783809816
15.848931924611142       0.3562495590684686
17.78279410038923        0.33075807024860515
19.952623149688787       0.3040534667492788
22.387211385683422       0.27630513787680283
25.11886431509582        0.24774242463803517
28.18382931264455        0.21867427810465637
31.622776601683793       0.18944594525257055
35.481338923357534       0.16047002086489653
39.81071705534978        0.13223613890715466
44.668359215096345       0.10526589172229271
50.11872336272725        0.08012910077108026
56.23413251903491        0.05742328366660109
63.09573444801943        0.03774166045800787
70.79457843841388        0.021662964714765597
79.43282347242821        0.009721514260461434
89.12509381337459        0.0023816098449449988
100                      1.2111316968942299E-5
