JN202303200003_DeltaP,,JN202303200004_DeltaP,,JN202303200006_DeltaP,,JN202303200007_DeltaP,,JN202303200008_DeltaP,,JN202303200010_DeltaP,,JN202303200011_DeltaP,
1.56e-07,0.00022739476,1.56e-07,0.00013600955,1.56e-07,0.00049764599,1.56e-07,0.00084430061,1.56e-07,0.0015867122,1.56e-07,0.0049355407,1.56e-07,0.0074183447
1.58e-07,0.00024482704,1.58e-07,0.00014744815,1.58e-07,0.00049305538,1.58e-07,0.00085293519,1.58e-07,0.0015907454,1.58e-07,0.0048852754,1.58e-07,0.0073696314
1.6e-07,0.00023944228,1.6e-07,0.0001327036,1.6e-07,0.00048767155,1.6e-07,0.00086504553,1.6e-07,0.0015902974,1.6e-07,0.0048397868,1.6e-07,0.0073163626
1.62e-07,0.00022666756,1.62e-07,0.00012979434,1.62e-07,0.00047063857,1.62e-07,0.00079630705,1.62e-07,0.0016416482,1.62e-07,0.0047726925,1.62e-07,0.0072580231
1.64e-07,0.00023316876,1.64e-07,0.00012059646,1.64e-07,0.00047321658,1.64e-07,0.00081245915,1.64e-07,0.0015763961,1.64e-07,0.0047796736,1.64e-07,0.007203653
1.66e-07,0.0002403973,1.66e-07,0.00012300616,1.66e-07,0.00048621735,1.66e-07,0.00084834232,1.66e-07,0.0015429878,1.66e-07,0.0047953264,1.66e-07,0.0071622124
1.68e-07,0.00025121067,1.68e-07,0.00011852472,1.68e-07,0.0004734371,1.68e-07,0.00086930761,1.68e-07,0.0015281901,1.68e-07,0.0047449148,1.68e-07,0.0071447995
1.7e-07,0.00025093157,1.7e-07,0.00012692923,1.7e-07,0.00047164471,1.7e-07,0.00080325862,1.7e-07,0.0015304306,1.7e-07,0.0046957517,1.7e-07,0.0070825666
1.72e-07,0.00025659543,1.72e-07,0.00013158694,1.72e-07,0.0004623461,1.72e-07,0.00079832767,1.72e-07,0.0015306515,1.72e-07,0.0046430612,1.72e-07,0.0069682403
1.74e-07,0.00024123477,1.74e-07,0.00013433451,1.74e-07,0.00046503422,1.74e-07,0.00079798989,1.74e-07,0.001538278,1.74e-07,0.0045948536,1.74e-07,0.0068897707
1.76e-07,0.00023832569,1.76e-07,0.00013634752,1.76e-07,0.00048173685,1.76e-07,0.00080909359,1.76e-07,0.0015039727,1.76e-07,0.0045739836,1.76e-07,0.0069026286
1.78e-07,0.00023837712,1.78e-07,0.00014661063,1.78e-07,0.00043645489,1.78e-07,0.00079888635,1.78e-07,0.001517874,1.78e-07,0.0045528924,1.78e-07,0.006837016
1.8e-07,0.0002304728,1.8e-07,0.00012485748,1.8e-07,0.00042883094,1.8e-07,0.00077444507,1.8e-07,0.0015124888,1.8e-07,0.0045383424,1.8e-07,0.0068342243
1.82e-07,0.00018541206,1.82e-07,0.00013354841,1.82e-07,0.00042636303,1.82e-07,0.00076849986,1.82e-07,0.0014586765,1.82e-07,0.0045360634,1.82e-07,0.0067669945
1.84e-07,0.00017778686,1.84e-07,0.00016527083,1.84e-07,0.00042894104,1.84e-07,0.00076883793,1.84e-07,0.0014537391,1.84e-07,0.0044829324,1.84e-07,0.0067103463
1.86e-07,0.00020183776,1.86e-07,0.00015876906,1.86e-07,0.00042681833,1.86e-07,0.0007895829,1.86e-07,0.0014158485,1.86e-07,0.0044560358,1.86e-07,0.006636946
1.88e-07,0.00020239611,1.88e-07,0.00014251861,1.88e-07,0.00041896658,1.88e-07,0.00077870709,1.88e-07,0.0014382727,1.88e-07,0.0043761553,1.88e-07,0.0065545072
1.9e-07,0.0001834506,1.9e-07,0.00013926407,1.9e-07,0.00040159567,1.9e-07,0.00076950679,1.9e-07,0.00139903,1.9e-07,0.004380418,1.9e-07,0.0065146843
1.92e-07,0.00017756647,1.92e-07,0.00013651638,1.92e-07,0.00041336223,1.92e-07,0.00071467168,1.92e-07,0.0014479127,1.92e-07,0.0043595475,1.92e-07,0.0064754486
1.94e-07,0.00017627349,1.94e-07,0.00016443331,1.94e-07,0.00040204369,1.94e-07,0.00072510657,1.94e-07,0.0014618135,1.94e-07,0.0043169986,1.94e-07,0.0063689849
1.96e-07,0.00018496398,1.96e-07,0.0001333207,1.96e-07,0.0004281624,1.96e-07,0.00067609886,1.96e-07,0.0014344591,1.96e-07,0.0042577675,1.96e-07,0.0064082202
1.98e-07,0.00017577398,1.98e-07,0.00012811201,1.98e-07,0.00041101198,1.98e-07,0.00070626469,1.98e-07,0.0013878183,1.98e-07,0.0041911141,1.98e-07,0.006373466
2e-07,0.00017364367,2e-07,0.0001254746,2e-07,0.00041717419,2e-07,0.00071029912,2e-07,0.0013546301,2e-07,0.004162454,2e-07,0.0062910281
2.02e-07,0.00018025513,2.02e-07,0.00013797844,2.02e-07,0.00041067408,2.02e-07,0.00069359591,2.02e-07,0.0013674143,2.02e-07,0.0042227879,2.02e-07,0.0062517934
2.04e-07,0.00018732197,2.04e-07,0.00013736133,2.04e-07,0.00041336223,2.04e-07,0.00068148557,2.04e-07,0.0012943076,2.04e-07,0.0041853092,2.04e-07,0.00621873
2.06e-07,0.00021461262,2.06e-07,0.00013449621,2.06e-07,0.00039957577,2.06e-07,0.00070626469,2.06e-07,0.0012853442,2.06e-07,0.0041292384,2.06e-07,0.0061767027
2.08e-07,0.00022683654,2.08e-07,0.00012995604,2.08e-07,0.00040395316,2.08e-07,0.00074685848,2.08e-07,0.0013575469,2.08e-07,0.0041173333,2.08e-07,0.0061794939
2.1e-07,0.00022543341,2.1e-07,0.0001391538,2.1e-07,0.00040753762,2.1e-07,0.00072443037,2.1e-07,0.0013315373,2.1e-07,0.0040648635,2.1e-07,0.00611278
2.12e-07,0.00022251708,2.12e-07,0.00014576569,2.12e-07,0.00040440148,2.12e-07,0.00077937596,2.12e-07,0.0013205453,2.12e-07,0.0040558977,2.12e-07,0.0060617146
2.14e-07,0.00023327902,2.14e-07,0.00015810053,2.14e-07,0.00041627817,2.14e-07,0.00077130704,2.14e-07,0.0013205453,2.14e-07,0.0040747845,2.14e-07,0.0060326196
2.16e-07,0.00023394752,2.16e-07,0.00013679564,2.16e-07,0.00043522092,2.16e-07,0.00073564454,2.16e-07,0.0013474516,2.16e-07,0.0040406859,2.16e-07,0.0059983805
2.18e-07,0.00024022831,2.18e-07,0.00013119026,2.18e-07,0.00042972696,2.18e-07,0.00077545171,2.18e-07,0.0013582156,2.18e-07,0.0039888774,2.18e-07,0.0059636272
2.2e-07,0.00023019369,2.2e-07,0.00014122552,2.2e-07,0.00042614251,2.2e-07,0.00077926554,2.2e-07,0.0013662905,2.2e-07,0.0039991657,2.2e-07,0.00587678
2.22e-07,0.00021976956,2.22e-07,0.00014610366,2.22e-07,0.00041885648,2.22e-07,0.0007676034,2.22e-07,0.00141831,2.22e-07,0.0040209182,2.22e-07,0.0058459211
2.24e-07,0.00021976956,2.24e-07,0.00013449621,2.24e-07,0.00043511082,2.24e-07,0.0007580723,2.24e-07,0.0013875901,2.24e-07,0.0039825574,2.24e-07,0.0058453339
2.26e-07,0.00024700875,2.26e-07,0.00014229088,2.26e-07,0.00043622736,2.26e-07,0.00069785799,2.26e-07,0.0013909556,2.26e-07,0.0039117159,2.26e-07,0.0057304194
2.28e-07,0.00022929738,2.28e-07,0.00014778599,2.28e-07,0.00041896658,2.28e-07,0.00065950578,2.28e-07,0.0013759299,2.28e-07,0.0039278832,2.28e-07,0.0057169735
2.3e-07,0.00019875243,2.3e-07,0.00014128438,2.3e-07,0.00041459617,2.3e-07,0.00060500874,2.3e-07,0.0013553057,2.3e-07,0.0038535874,2.3e-07,0.0056502596
2.32e-07,0.00019958989,2.32e-07,0.00015288456,2.32e-07,0.00039621911,2.32e-07,0.00059974001,2.32e-07,0.0012902743,2.32e-07,0.0038183869,2.32e-07,0.0056374012
2.34e-07,0.00019337509,2.34e-07,0.00012967677,2.34e-07,0.00039924515,2.34e-07,0.00057473272,2.34e-07,0.0013452105,2.34e-07,0.0037439442,2.34e-07,0.005593684
2.36e-07,0.0001965634,2.36e-07,0.00012704679,2.36e-07,0.00040462171,2.36e-07,0.00058358762,2.36e-07,0.0012983488,2.36e-07,0.003741446,2.36e-07,0.0055482769
2.38e-07,0.00021320951,2.38e-07,0.00014638279,2.38e-07,0.00041728458,2.38e-07,0.00061431219,2.38e-07,0.0012651606,2.38e-07,0.003721972,2.38e-07,0.0055005923
2.4e-07,0.00020923528,2.4e-07,0.00011302962,2.4e-07,0.00042916881,2.4e-07,0.0006343883,2.4e-07,0.0013019347,2.4e-07,0.0036766296,2.4e-07,0.0054781819
2.42e-07,0.00020603981,2.42e-07,0.0001098338,2.42e-07,0.00039285517,2.42e-07,0.00071041688,2.42e-07,0.0012882536,2.42e-07,0.0036461332,2.42e-07,0.0054574627
2.44e-07,0.00018356087,2.44e-07,0.00012401996,2.44e-07,0.00039711516,2.44e-07,0.00072969944,2.44e-07,0.0012651606,2.44e-07,0.0035993217,2.44e-07,0.0054075732
2.46e-07,0.00019527785,2.46e-07,0.00012076544,2.46e-07,0.00039106279,2.46e-07,0.00068305066,2.46e-07,0.0012678497,2.46e-07,0.0035575808,2.46e-07,0.0053744363
2.48e-07,0.00018597029,2.48e-07,0.00011986921,2.48e-07,0.00038938082,2.48e-07,0.00069302996,2.48e-07,0.0012384752,2.48e-07,0.003505772,2.48e-07,0.0053822985
2.5e-07,0.00019740815,2.5e-07,0.00013870567,2.5e-07,0.00038669267,2.5e-07,0.00068238209,2.5e-07,0.0012487905,2.5e-07,0.0035212045,2.5e-07,0.0053138938
2.52e-07,0.00017353338,2.52e-07,0.0001482341,2.52e-07,0.00034757316,2.52e-07,0.00069135445,2.52e-07,0.0012961081,2.52e-07,0.003506213,2.52e-07,0.0052948641
2.54e-07,0.00017627349,2.54e-07,0.00011673226,2.54e-07,0.00034723524,2.54e-07,0.00066959555,2.54e-07,0.0012875849,2.54e-07,0.0034826968,2.54e-07,0.0052550402
2.56e-07,0.00017459855,2.56e-07,0.00012138255,2.56e-07,0.00035351515,2.56e-07,0.00065827119,2.56e-07,0.0012848958,2.56e-07,0.0034932059,2.56e-07,0.0052275611
2.58e-07,0.00017869033,2.58e-07,0.00011600487,2.58e-07,0.00034981329,2.58e-07,0.00063516735,2.58e-07,0.0012252498,2.58e-07,0.0034627088,2.58e-07,0.005227047
2.6e-07,0.00018513281,2.6e-07,0.00010053306,2.6e-07,0.00035530751,2.6e-07,0.00067083008,2.6e-07,0.0012391512,2.6e-07,0.0034218498,2.6e-07,0.0051412289
2.62e-07,0.00018580873,2.62e-07,0.00010417699,2.62e-07,0.00034835908,2.62e-07,0.00061744987,2.62e-07,0.0012234499,2.62e-07,0.0034813008,2.62e-07,0.0051289592
2.64e-07,0.00020323358,2.64e-07,0.00011191282,2.64e-07,0.00035295699,2.64e-07,0.00065894739,2.64e-07,0.0011972196,2.64e-07,0.0034344159,2.64e-07,0.005110444
2.66e-07,0.00020144109,2.66e-07,0.00011577717,2.66e-07,0.0003590094,2.66e-07,0.00063001609,2.66e-07,0.0012290555,2.66e-07,0.0034003181,2.66e-07,0.0050823763
2.68e-07,0.00020581199,2.68e-07,0.00011740078,2.68e-07,0.00036438592,2.68e-07,0.00061038788,2.68e-07,0.0011907171,2.68e-07,0.0033978927,2.68e-07,0.0050336621
2.7e-07,0.00020200675,2.7e-07,0.00010496309,2.7e-07,0.00036315169,2.7e-07,0.00059682236,2.7e-07,0.0012111209,2.7e-07,0.0033657791,2.7e-07,0.005002216
2.72e-07,0.00022369236,2.72e-07,0.00013466505,2.72e-07,0.00036685384,2.72e-07,0.00057641551,2.72e-07,0.0011945232,2.72e-07,0.0033075034,2.72e-07,0.0049904599
2.74e-07,0.0001917443,2.74e-07,0.00013965348,2.74e-07,0.00035631366,2.74e-07,0.0006471675,2.74e-07,0.0011714303,2.74e-07,0.0033460846,2.74e-07,0.0049584988
2.76e-07,0.0002083391,2.76e-07,0.00014111538,2.76e-07,0.00035933973,2.76e-07,0.00059300853,2.76e-07,0.001177036,2.76e-07,0.0033923078,2.76e-07,0.0049428488
2.78e-07,0.0002111379,2.78e-07,0.00012374084,2.78e-07,0.00034746304,2.78e-07,0.00056598068,2.78e-07,0.0011514743,2.78e-07,0.0034039186,2.78e-07,0.004920953
2.8e-07,0.00019981772,2.8e-07,0.00011801789,2.8e-07,0.00037514631,2.8e-07,0.00057584979,2.8e-07,0.0011891447,2.8e-07,0.0033601937,2.8e-07,0.0048867879
2.82e-07,0.00020452644,2.82e-07,0.00011409484,2.82e-07,0.00037212,2.82e-07,0.00059345679,2.82e-07,0.0011797255,2.82e-07,0.0034077403,2.82e-07,0.0048581329
2.84e-07,0.00016910379,2.84e-07,0.00013035274,2.84e-07,0.00036214554,2.84e-07,0.00065053313,2.84e-07,0.0012037221,2.84e-07,0.0033900298,2.84e-07,0.0048519606
2.86e-07,0.00015912774,2.86e-07,0.0001417325,2.86e-07,0.00037267842,2.86e-07,0.00068697496,2.86e-07,0.0012025976,2.86e-07,0.0033375595,2.86e-07,0.004811109
2.88e-07,0.00014528046,2.88e-07,0.00013853669,2.88e-07,0.00038422475,2.88e-07,0.0006922512,2.88e-07,0.0012530519,2.88e-07,0.0033281534,2.88e-07,0.0047813519
2.9e-07,0.00016310197,2.9e-07,0.00013102127,2.9e-07,0.00039442675,2.9e-07,0.00065120921,2.9e-07,0.0011810696,2.9e-07,0.0033086056,2.9e-07,0.0047746655
2.92e-07,0.00015099575,2.92e-07,0.00011841458,2.92e-07,0.00039240686,2.92e-07,0.00065894739,2.92e-07,0.001206859,2.92e-07,0.00330596,2.92e-07,0.0047308756
2.94e-07,0.00015537391,2.94e-07,0.00011875256,2.94e-07,0.0003850107,2.94e-07,0.00061386399,2.94e-07,0.0011368975,2.94e-07,0.0032933939,2.94e-07,0.0047141225
2.96e-07,0.00016013419,2.96e-07,0.00012474736,2.96e-07,0.00037794458,2.96e-07,0.00059188419,2.96e-07,0.001140035,2.96e-07,0.0032260795,2.96e-07,0.0046642339
2.98e-07,0.00017728722,2.98e-07,0.00013024245,2.98e-07,0.00035373567,2.98e-07,0.00062541588,2.98e-07,0.0011189623,2.98e-07,0.0032548129,2.98e-07,0.0046171369
3e-07,0.00016343992,3e-07,0.00012541589,3e-07,0.00036606789,3e-07,0.00061509851,3e-07,0.0011288226,3e-07,0.00328193,3e-07,0.0046580615
3.02e-07,0.00015806258,3.02e-07,0.00012065531,3.02e-07,0.00036348961,3.02e-07,0.00058661541,3.02e-07,0.0011319673,3.02e-07,0.0032312237,3.02e-07,0.0045958292
3.04e-07,0.00016058228,3.04e-07,0.00012973564,3.04e-07,0.00035385304,3.04e-07,0.00059200189,3.04e-07,0.0011126802,3.04e-07,0.0031718458,3.04e-07,0.0045711417
3.06e-07,0.00017112397,3.06e-07,0.00013511331,3.06e-07,0.00034802119,3.06e-07,0.00056149793,3.06e-07,0.0010770235,3.06e-07,0.0031978602,3.06e-07,0.0045487327
3.08e-07,0.00015341258,3.08e-07,0.00013069058,3.08e-07,0.00032246788,3.08e-07,0.00058639486,3.08e-07,0.001136449,3.08e-07,0.0031231456,3.08e-07,0.0045363889
3.1e-07,0.00013849999,3.1e-07,0.00012766389,3.1e-07,0.00034477463,3.1e-07,0.00064470567,3.1e-07,0.0010960897,3.1e-07,0.003098028,3.1e-07,0.0045308047
3.12e-07,0.00015878992,3.12e-07,0.00012839114,3.12e-07,0.00034465725,3.12e-07,0.00064627104,3.12e-07,0.00112703,3.12e-07,0.0031103664,3.12e-07,0.0045907591
3.14e-07,0.00017179246,3.14e-07,0.00011454295,3.14e-07,0.00035115736,3.14e-07,0.00058280129,3.14e-07,0.0010561716,3.14e-07,0.0031161939,3.14e-07,0.0045061172
3.16e-07,0.00016792837,3.16e-07,0.00011078888,3.16e-07,0.0003458912,3.16e-07,0.00054949772,3.16e-07,0.0010272451,3.16e-07,0.0030935453,3.16e-07,0.0044657802
3.18e-07,0.00014483236,3.18e-07,0.00011230223,3.18e-07,0.00033457237,3.18e-07,0.00054378051,3.18e-07,0.00099742203,3.18e-07,0.0030233432,3.18e-07,0.0044259569
3.2e-07,0.00011798981,3.2e-07,0.00010115017,3.2e-07,0.00034331289,3.2e-07,0.00052875257,3.2e-07,0.0010678319,3.2e-07,0.0030293982,3.2e-07,0.0043950975
3.22e-07,0.00014337782,3.22e-07,0.00010445611,3.22e-07,0.00032807223,3.22e-07,0.00053783535,3.22e-07,0.0010608815,3.22e-07,0.00301886,3.22e-07,0.0043805498
3.24e-07,0.00013166084,3.24e-07,9.9188714e-05,3.24e-07,0.00029971317,3.24e-07,0.00058426382,3.24e-07,0.0010949658,3.24e-07,0.0030329917,3.24e-07,0.0043709981
3.26e-07,0.00014802782,3.26e-07,9.2855946e-05,3.26e-07,0.00031125947,3.26e-07,0.00054849085,3.26e-07,0.0011196311,3.26e-07,0.0029923972,3.26e-07,0.0043446943
3.28e-07,0.00015587344,3.28e-07,9.7726654e-05,3.28e-07,0.00032997446,3.28e-07,0.00061969867,3.28e-07,0.0011016959,3.28e-07,0.0029780453,3.28e-07,0.0043205954
3.3e-07,0.00014421529,3.3e-07,9.6499869e-05,3.3e-07,0.00032313616,3.3e-07,0.00060579507,3.3e-07,0.0010640185,3.3e-07,0.002937451,3.3e-07,0.004303182
3.32e-07,0.00015222987,3.32e-07,0.00012794303,3.32e-07,0.0003033049,3.32e-07,0.00064515421,3.32e-07,0.0010837535,3.32e-07,0.0029542721,3.32e-07,0.0042852541
3.34e-07,0.00014808668,3.34e-07,0.00014027057,3.34e-07,0.00030420092,3.34e-07,0.00064066425,3.34e-07,0.0010658189,3.34e-07,0.0029524718,3.34e-07,0.0042471206
3.36e-07,0.00016271272,3.36e-07,0.00012973564,3.36e-07,0.00030520713,3.36e-07,0.0005808982,3.36e-07,0.0011194109,3.36e-07,0.0028984216,3.36e-07,0.0042554969
3.38e-07,0.00013676635,3.38e-07,0.0001045664,3.38e-07,0.00029287484,3.38e-07,0.00054893905,3.38e-07,0.0010555029,3.38e-07,0.0029015669,3.38e-07,0.0041955411
3.4e-07,0.00016786966,3.4e-07,0.00010406671,3.4e-07,0.00031473354,3.4e-07,0.00053985626,3.4e-07,0.0010550549,3.4e-07,0.0028708419,3.4e-07,0.0042157476
3.42e-07,0.00016658411,3.42e-07,0.00012116213,3.42e-07,0.00033120843,3.42e-07,0.00055734609,3.42e-07,0.0010972071,3.42e-07,0.0028486343,3.42e-07,0.0041602007
3.44e-07,0.00015778348,3.44e-07,0.00012468849,3.44e-07,0.00031630544,3.44e-07,0.00052269746,3.44e-07,0.0010422703,3.44e-07,0.0028602965,3.44e-07,0.0041243453
3.46e-07,0.00015497724,3.46e-07,0.00012379227,3.46e-07,0.00027920582,3.46e-07,0.00050431117,3.46e-07,0.0010682803,3.46e-07,0.0028253095,3.46e-07,0.0041170712
3.48e-07,0.00016158873,3.48e-07,0.00011678368,3.48e-07,0.00028144624,3.48e-07,0.00050071767,3.48e-07,0.0010445114,3.48e-07,0.002889677,3.48e-07,0.0041075191
3.5e-07,0.00016450508,3.5e-07,0.00011286062,3.5e-07,0.0002781924,3.5e-07,0.00047604871,3.5e-07,0.0010411463,3.5e-07,0.0028831733,3.5e-07,0.0040682843
3.52e-07,0.00015469815,3.52e-07,0.00011415355,3.52e-07,0.0003003887,3.52e-07,0.00053940795,3.52e-07,0.001033975,3.52e-07,0.0028742002,3.52e-07,0.0040497687
3.54e-07,0.00015463929,3.54e-07,9.6044321e-05,3.54e-07,0.00029276474,3.54e-07,0.00053391134,3.54e-07,0.0010599851,3.54e-07,0.0028854148,3.54e-07,0.0039712973
3.56e-07,0.00014287089,3.56e-07,0.00011196425,3.56e-07,0.00028873226,3.56e-07,0.00051395275,3.56e-07,0.00104698,3.56e-07,0.0028053503,3.56e-07,0.0040307385
3.58e-07,0.00016097895,3.58e-07,0.00010070205,3.58e-07,0.00029579079,3.58e-07,0.00056912564,3.58e-07,0.0010662668,3.58e-07,0.0028057983,3.58e-07,0.0040071532
3.6e-07,0.00016416726,3.6e-07,8.691258e-05,3.6e-07,0.00030542762,3.6e-07,0.000547815,3.6e-07,0.0010193978,3.6e-07,0.0027699149,3.6e-07,0.0039830538
3.62e-07,0.00014472222,3.62e-07,0.00010300149,3.62e-07,0.00029444671,3.62e-07,0.00057013251,3.62e-07,0.0010487728,3.62e-07,0.0027779907,3.62e-07,0.0039192042
3.64e-07,0.00017409175,3.64e-07,0.0001196488,3.64e-07,0.00031260354,3.64e-07,0.000483118,3.64e-07,0.0010319548,3.64e-07,0.0027750735,3.64e-07,0.0039180294
3.66e-07,0.0001575558,3.66e-07,0.00012435052,3.66e-07,0.00029646658,3.66e-07,0.00055286335,3.66e-07,0.0011111079,3.66e-07,0.0027611696,3.66e-07,0.0039595426
3.68e-07,0.0001502684,3.68e-07,9.5434647e-05,3.68e-07,0.00030262908,3.68e-07,0.00058168452,3.68e-07,0.0010830774,3.68e-07,0.0027970537,3.68e-07,0.0038574862
3.7e-07,0.00016972086,3.7e-07,0.00010383901,3.7e-07,0.000324708,3.7e-07,0.00050935231,3.7e-07,0.0010330788,3.7e-07,0.0027149681,3.7e-07,0.0038614538
3.72e-07,0.00015806258,3.72e-07,9.0108384e-05,3.72e-07,0.00031529169,3.72e-07,0.00053200795,3.72e-07,0.00096782664,3.72e-07,0.0026979188,3.72e-07,0.0038316969
3.74e-07,0.00017027908,3.74e-07,8.186559e-05,3.74e-07,0.00030588292,3.74e-07,0.00054714613,3.74e-07,0.0010093098,3.74e-07,0.0025958747,3.74e-07,0.0038563842
3.76e-07,0.00013446706,3.76e-07,0.00011841458,3.76e-07,0.00030442118,3.76e-07,0.00061274687,3.76e-07,0.0009864372,3.76e-07,0.0026133719,3.76e-07,0.0037862898
3.78e-07,0.00013586275,3.78e-07,0.0001098338,3.78e-07,0.00032762397,3.78e-07,0.00064593297,3.78e-07,0.001014916,3.78e-07,0.0026662974,3.78e-07,0.0038003232
3.8e-07,0.00014819681,3.8e-07,0.00011286062,3.8e-07,0.00031305157,3.8e-07,0.00064481614,3.8e-07,0.0009945049,3.8e-07,0.0026550835,3.8e-07,0.0037111989
3.82e-07,0.00013973413,3.82e-07,9.6999414e-05,3.82e-07,0.00033513078,3.82e-07,0.00063281594,3.82e-07,0.0010043725,3.82e-07,0.0026115789,3.82e-07,0.0037246447
3.84e-07,0.00015329503,3.84e-07,9.7557808e-05,3.84e-07,0.00036214554,3.84e-07,0.00061891234,3.84e-07,0.00098688575,3.84e-07,0.0025456387,3.84e-07,0.0037156814
3.86e-07,0.00016103036,3.86e-07,8.9542707e-05,3.86e-07,0.00035295699,3.86e-07,0.00055230496,3.86e-07,0.00099764962,3.86e-07,0.0025391351,3.86e-07,0.0036926835
3.88e-07,0.00016265389,3.88e-07,9.0218527e-05,3.88e-07,0.00035541764,3.88e-07,0.00062182971,3.88e-07,0.0010028073,3.88e-07,0.0024835127,3.88e-07,0.0036483789
3.9e-07,0.00016770069,3.9e-07,9.4420713e-05,3.9e-07,0.00035149526,3.9e-07,0.00059502944,3.9e-07,0.0010048209,3.9e-07,0.0025119961,3.9e-07,0.0036164904
3.92e-07,0.00015301592,3.92e-07,9.4420713e-05,3.92e-07,0.00034309266,3.92e-07,0.00057708437,3.92e-07,0.00097477704,3.92e-07,0.0024386556,3.92e-07,0.0036041471
3.94e-07,0.00014903427,3.94e-07,0.00010394929,3.94e-07,0.00033154633,3.94e-07,0.00049971102,3.94e-07,0.00097096415,3.94e-07,0.0024788019,3.94e-07,0.0035547726
3.96e-07,0.00015156138,3.96e-07,0.00011129572,3.96e-07,0.00032515606,3.96e-07,0.00052471837,3.96e-07,0.00094203744,3.96e-07,0.0024958514,3.96e-07,0.0035553598
3.98e-07,0.00015167151,3.98e-07,0.00011449152,3.98e-07,0.0003458912,3.98e-07,0.00051653199,3.98e-07,0.00095078046,3.98e-07,0.0024779055,3.98e-07,0.00357439
4e-07,0.00015458786,4e-07,0.00010759308,4e-07,0.00034163089,4e-07,0.00050218013,4e-07,0.00092230231,4e-07,0.0024929335,4e-07,0.0035502904
4.02e-07,0.00015116471,4.02e-07,9.7557808e-05,4.02e-07,0.00033042248,4.02e-07,0.0004853592,4.02e-07,0.00094674673,4.02e-07,0.0024615324,4.02e-07,0.0035284685
4.04e-07,0.00017869033,4.04e-07,8.9212015e-05,4.04e-07,0.00031675343,4.04e-07,0.00049231102,4.04e-07,0.00092387473,4.04e-07,0.0024065862,4.04e-07,0.0035239863
4.06e-07,0.00017846264,4.06e-07,0.00010434598,4.06e-07,0.00034633919,4.06e-07,0.00047111782,4.06e-07,0.00091221445,4.06e-07,0.0024178002,4.06e-07,0.0035110551
4.08e-07,0.00017426074,4.08e-07,0.00010417699,4.08e-07,0.00032571447,4.08e-07,0.00042928979,4.08e-07,0.00091221445,4.08e-07,0.0024204897,4.08e-07,0.0034886447
4.1e-07,0.0001471905,4.1e-07,0.00010950325,4.1e-07,0.00032268811,4.1e-07,0.00042267606,4.1e-07,0.00088912155,4.1e-07,0.0024644502,4.1e-07,0.0034566836
4.12e-07,0.00014455325,4.12e-07,9.2907365e-05,4.12e-07,0.00029983054,4.12e-07,0.00043882089,4.12e-07,0.00086915831,4.12e-07,0.0024283456,4.12e-07,0.003448308
4.14e-07,0.00014096827,4.14e-07,9.79545e-05,4.14e-07,0.00028660227,4.14e-07,0.00039632403,4.14e-07,0.00091759244,4.14e-07,0.0025104308,4.14e-07,0.0034880575
4.16e-07,0.00015077533,4.16e-07,8.8705186e-05,4.16e-07,0.00029568066,4.16e-07,0.00041179999,4.16e-07,0.00086333184,4.16e-07,0.0024254278,4.16e-07,0.0034549944
4.18e-07,0.00012773804,4.18e-07,9.6330885e-05,4.18e-07,0.00030229116,4.18e-07,0.00043590326,4.18e-07,0.000855933,4.18e-07,0.0024346216,4.18e-07,0.0034095873
4.2e-07,0.00016064112,4.2e-07,0.00010607974,4.2e-07,0.00030812304,4.2e-07,0.00042144151,4.2e-07,0.00091400713,4.2e-07,0.0024440424,4.2e-07,0.0034151706
4.22e-07,0.0001484172,4.22e-07,0.00010652786,4.22e-07,0.00029568066,4.22e-07,0.00040159276,4.22e-07,0.000917144,4.22e-07,0.0024411248,4.22e-07,0.0033922468
4.24e-07,0.00015570459,4.24e-07,0.00011106801,4.24e-07,0.00028850473,4.24e-07,0.00042525533,4.24e-07,0.0009126623,4.24e-07,0.0024523393,4.24e-07,0.0033961418
4.26e-07,0.00014220239,4.26e-07,0.00010843803,4.26e-07,0.00029803117,4.26e-07,0.0004465587,4.26e-07,0.00092521892,4.26e-07,0.0023583709,4.26e-07,0.0033910719
4.28e-07,0.00013743484,4.28e-07,0.00011174397,4.28e-07,0.00029455681,4.28e-07,0.00039901349,4.28e-07,0.000909077,4.28e-07,0.0023626329,4.28e-07,0.0033865897
4.3e-07,0.0001458975,4.3e-07,0.00012014834,4.3e-07,0.00030912948,4.3e-07,0.00046102828,4.3e-07,0.00093485892,4.3e-07,0.0023812477,4.3e-07,0.0033249445
4.32e-07,0.00014819681,4.32e-07,0.0001196488,4.32e-07,0.00029590089,4.32e-07,0.00047033146,4.32e-07,0.00091086968,4.32e-07,0.0023574743,4.32e-07,0.0033439745
4.34e-07,0.00015217846,4.34e-07,0.00014907162,4.34e-07,0.00027864039,4.34e-07,0.00047178636,4.34e-07,0.00090481562,4.34e-07,0.0023713785,4.34e-07,0.0033574942
4.36e-07,0.00013861028,4.36e-07,0.00012615041,4.36e-07,0.00028805647,4.36e-07,0.0004519379,4.36e-07,0.00090100215,4.36e-07,0.002348722,4.36e-07,0.0032957748
4.38e-07,0.00014561841,4.38e-07,0.00011023049,4.38e-07,0.00031372739,4.38e-07,0.00048737277,4.38e-07,0.00091221445,4.38e-07,0.0023680127,4.38e-07,0.0032851219
