JN202303200003_DeltaP,,JN202303200004_DeltaP,,JN202303200006_DeltaP,,JN202303200007_DeltaP,,JN202303200008_DeltaP,,JN202303200010_DeltaP,,JN202303200011_DeltaP,
-4.8e-08,1.3624252e-05,-4.8e-08,-2.8839469e-05,-4.8e-08,-8.3949908e-06,-4.8e-08,-3.7767697e-06,-4.8e-08,6.9791386e-06,-4.8e-08,-1.8729483e-05,-4.8e-08,4.3288477e-05
-4.6e-08,2.051483e-05,-4.6e-08,-3.0404235e-05,-4.6e-08,-5.7065722e-06,-4.6e-08,-3.9887516e-05,-4.6e-08,-5.9617509e-05,-4.6e-08,-5.6342571e-07,-4.6e-08,1.6911679e-05
-4.4e-08,2.9209996e-06,-4.4e-08,-1.106823e-05,-4.4e-08,-2.0609572e-05,-4.4e-08,-7.9467012e-05,-4.4e-08,-1.4996827e-05,-4.4e-08,8.8576835e-06,-4.4e-08,2.5287633e-05
-4.2e-08,-2.9631333e-06,-4.2e-08,1.9940003e-06,-4.2e-08,-3.058432e-05,-4.2e-08,-6.1080718e-05,-4.2e-08,-1.2755983e-05,-4.2e-08,-1.7605074e-05,-4.2e-08,-1.5049458e-05
-4e-08,-1.2946473e-05,-4e-08,8.7747467e-06,-4e-08,-1.5901547e-05,-4e-08,-5.1432176e-05,-4e-08,-2.5084968e-05,-4e-08,4.3168886e-05,-4e-08,2.9769904e-05
-3.8e-08,-2.9117109e-06,-3.8e-08,1.6172738e-05,-3.8e-08,5.3917347e-06,-3.8e-08,-6.1749575e-05,-3.8e-08,-5.8053024e-06,-3.8e-08,-2.2315488e-05,-3.8e-08,2.3639136e-06
-3.6e-08,-1.9109855e-05,-3.6e-08,6.0860443e-06,-3.6e-08,-9.8491737e-06,-3.6e-08,-4.919097e-05,-3.6e-08,-3.0470559e-05,-3.6e-08,-8.6395021e-06,-3.6e-08,-4.3964928e-06
-3.4e-08,-9.2440714e-06,-3.4e-08,8.7747467e-06,-3.4e-08,-1.1310922e-05,-3.4e-08,-7.4756419e-05,-3.4e-08,9.896019e-06,-3.4e-08,-2.2095146e-05,-3.4e-08,-1.6739561e-05
-3.2e-08,-2.0343989e-05,-3.2e-08,2.670769e-05,-3.2e-08,-8.7328999e-06,-3.2e-08,-5.3114978e-05,-3.2e-08,4.0167171e-05,-3.2e-08,9.7541833e-06,-3.2e-08,-3.8079002e-06
-3e-08,-1.2270558e-05,-3e-08,2.0206073e-05,-3e-08,1.3794338e-05,-3e-08,-3.6073678e-05,-3e-08,2.8279348e-05,-3e-08,1.580963e-05,-3e-08,3.0357378e-05
