p1,,p2,,p3,,p4,,p5,,qa,,qb,,qc,,qd,,qe,,qf,,qg,,qh,,qi,,qj,
8.321,0.99770343,8.321,0.99311817,8.321,0.99083227,8.321,0.99311817,8.321,0.99311703,8.321,0.98855072,8.321,0.99083364,8.321,0.99083364,8.321,0.99311817,8.321,0.99311817,8.321,0.99083227,8.321,0.9976995,8.321,0.99311435,8.321,0.99311817,8.321,0.99083227
8.322,0.99770343,8.322,0.99311817,8.322,0.99083227,8.322,0.99311817,8.322,0.99083364,8.322,0.98627776,8.322,0.99083227,8.322,0.99083227,8.322,0.99540812,8.322,0.99311817,8.322,0.9885568,8.322,0.9954055,8.322,0.9954055,8.322,0.99311817,8.322,0.99083227
8.323,0.99540699,8.323,0.99311554,8.323,0.99083227,8.323,0.99311554,8.323,0.99083364,8.323,0.98855036,8.323,0.99083227,8.323,0.99083227,8.323,0.99540812,8.323,0.99311554,8.323,0.99083227,8.323,0.9954055,8.323,0.99083084,8.323,0.99083084,8.323,0.99083227
8.324,0.99769825,8.324,0.99311554,8.324,0.99540812,8.324,0.99311554,8.324,0.99083364,8.324,0.98855036,8.324,0.99311817,8.324,0.99083227,8.324,0.99540812,8.324,0.99311554,8.324,0.99083084,8.324,0.99770075,8.324,0.9954055,8.324,0.99083084,8.324,0.99311817
8.325,1,8.325,0.99311554,8.325,0.99311554,8.325,0.99311554,8.325,0.99311817,8.325,0.98855036,8.325,0.99311817,8.325,0.99311817,8.325,0.99311298,8.325,0.99311554,8.325,0.99083084,8.325,0.99770075,8.325,0.99311817,8.325,0.99311554,8.325,0.99540812
8.326,1,8.326,0.99311554,8.326,0.99311554,8.326,0.99540424,8.326,0.99311817,8.326,0.9885568,8.326,0.99311817,8.326,0.99083084,8.326,0.99311298,8.326,0.99540424,8.326,0.99540424,8.326,0.99770075,8.326,0.99311554,8.326,0.99311554,8.326,0.99311554
8.327,0.9976995,8.327,0.99311298,8.327,0.99311554,8.327,0.99540424,8.327,0.99311817,8.327,0.99083227,8.327,0.99311554,8.327,0.99311554,8.327,0.99311298,8.327,0.99311298,8.327,0.98855013,8.327,0.99770212,8.327,0.99540424,8.327,0.99311298,8.327,0.99311298
8.328,1,8.328,0.99540031,8.328,0.99311298,8.328,0.99540031,8.328,0.99311554,8.328,0.99083227,8.328,0.99311554,8.328,0.99311298,8.328,0.99540031,8.328,0.99540031,8.328,0.99083084,8.328,0.99769682,8.328,0.99311298,8.328,0.99083489,8.328,0.99311298
8.329,0.99770075,8.329,0.99311697,8.329,0.99540031,8.329,0.99311697,8.329,0.99311554,8.329,0.98855019,8.329,0.99540424,8.329,0.99311298,8.329,0.99311697,8.329,0.99311697,8.329,0.99083489,8.329,0.99769682,8.329,0.99311697,8.329,0.99311697,8.329,0.99540031
8.33,1,8.33,0.99311697,8.33,0.99311697,8.33,0.99311697,8.33,0.99311554,8.33,0.98855019,8.33,0.99540031,8.33,0.99311697,8.33,0.99082714,8.33,0.99311697,8.33,0.99311697,8.33,0.99540031,8.33,0.99540031,8.33,0.99311697,8.33,0.99311697
8.331,1,8.331,0.99540961,8.331,0.99311697,8.331,0.99540961,8.331,0.99540424,8.331,0.98855013,8.331,0.99311697,8.331,0.99311697,8.331,0.99311447,8.331,0.99540961,8.331,0.99311697,8.331,0.99769819,8.331,0.99311697,8.331,0.99540961,8.331,0.99311697
8.332,1,8.332,0.99311447,8.332,0.99540961,8.332,0.99311447,8.332,0.99083489,8.332,0.99082959,8.332,0.99311697,8.332,0.99311697,8.332,0.99311447,8.332,0.99311447,8.332,0.99311447,8.332,0.99769819,8.332,0.99540961,8.332,0.99311447,8.332,0.99082714
8.333,1.0023085,8.333,0.99311447,8.333,0.99311447,8.333,0.99311447,8.333,0.99083489,8.333,0.99082959,8.333,0.99311697,8.333,0.99083257,8.333,0.99311447,8.333,0.99311447,8.333,0.99540961,8.333,1,8.333,0.99311447,8.333,0.99311447,8.333,0.99311447
8.334,0.99769682,8.334,0.99311852,8.334,0.99311447,8.334,0.99083257,8.334,0.99311697,8.334,0.98855674,8.334,0.99540961,8.334,0.99083257,8.334,0.99540573,8.334,0.99083257,8.334,0.99311447,8.334,0.99770612,8.334,0.99083257,8.334,0.99311852,8.334,0.99311852
8.335,1,8.335,0.99311852,8.335,0.99311852,8.335,0.99311852,8.335,0.99311697,8.335,0.98855674,8.335,0.99311447,8.335,0.99311852,8.335,0.99540186,8.335,0.99311852,8.335,0.99311852,8.335,0.99770612,8.335,0.99540573,8.335,0.99311852,8.335,0.99311852
8.336,1,8.336,0.99540186,8.336,0.99311852,8.336,0.99540186,8.336,0.99540961,8.336,0.98855036,8.336,0.99540573,8.336,0.99540186,8.336,0.99311608,8.336,0.99540186,8.336,0.99083257,8.336,0.99769431,8.336,0.99311852,8.336,0.99540186,8.336,0.99311852
8.337,1.0023071,8.337,0.99540186,8.337,0.99311852,8.337,0.99311608,8.337,0.99311447,8.337,0.99082714,8.337,0.99311852,8.337,0.99083799,8.337,0.99311608,8.337,0.99311608,8.337,0.99311608,8.337,0.99769431,8.337,0.99540186,8.337,0.99311608,8.337,0.99083799
8.338,1,8.338,0.99311608,8.338,0.99311608,8.338,0.99311608,8.338,0.99083257,8.338,0.99082714,8.338,0.99540186,8.338,0.99311608,8.338,0.99541122,8.338,0.99083036,8.338,0.99311608,8.338,0.9977023,8.338,0.99540186,8.338,0.99311608,8.338,0.99083036
8.339,1.0022992,8.339,0.99312019,8.339,0.99311608,8.339,0.99312019,8.339,0.99311852,8.339,0.99082714,8.339,0.99540186,8.339,0.99541122,8.339,0.99541122,8.339,0.99312019,8.339,0.99083799,8.339,0.9977023,8.339,0.99083036,8.339,0.99312019,8.339,0.99312019
8.34,1,8.34,0.99312019,8.34,0.99312019,8.34,0.99312019,8.34,0.99311852,8.34,0.98855054,8.34,0.99311608,8.34,0.99312019,8.34,0.9954074,8.34,0.99312019,8.34,0.99311608,8.34,0.99541122,8.34,0.99312019,8.34,0.99312019,8.34,0.99312019
8.341,1,8.341,0.9954074,8.341,0.99312019,8.341,0.9954074,8.341,0.99311608,8.341,0.99083257,8.341,0.99311608,8.341,0.9954074,8.341,0.9954074,8.341,0.9954074,8.341,0.99312019,8.341,0.99770361,8.341,0.99770361,8.341,0.9954074,8.341,0.99311781
8.342,1.002311,8.342,0.9954074,8.342,0.99312019,8.342,0.99311781,8.342,0.99540186,8.342,0.99083799,8.342,0.99312019,8.342,0.9954074,8.342,0.9954074,8.342,0.99311781,8.342,0.99083585,8.342,0.99770361,8.342,0.9954074,8.342,0.99311781,8.342,0.99311781
