p1,,p2,,p3,,p4,,p5,,qa,,qb,,qc,,qd,,qe,,qf,,qg,,qh,,qi,,qj,
8.972,1.0046142,8.972,0.99540812,8.972,0.99540812,8.972,0.99540812,8.972,0.99311703,8.972,0.98855036,8.972,0.99311817,8.972,0.99311817,8.972,0.99540812,8.972,0.99540812,8.972,0.99083227,8.972,0.99770075,8.972,0.9954055,8.972,0.99540812,8.972,0.99311817
8.973,1.0046142,8.973,0.99540812,8.973,0.99540812,8.973,0.99540812,8.973,0.9954055,8.973,0.98855036,8.973,0.99311817,8.973,0.99311817,8.973,0.99540812,8.973,0.99540812,8.973,0.99311817,8.973,0.99770075,8.973,0.99540812,8.973,0.99540812,8.973,0.99311817
8.974,1.0046182,8.974,0.99540812,8.974,0.99311554,8.974,0.99311554,8.974,0.99311817,8.974,0.9885568,8.974,0.99311817,8.974,0.99311817,8.974,0.99540424,8.974,0.99311554,8.974,0.99311817,8.974,0.99770075,8.974,0.99311554,8.974,0.99540812,8.974,0.99540812
8.975,1.0046182,8.975,0.99540424,8.975,0.99311554,8.975,0.99540424,8.975,0.9954055,8.975,0.9885568,8.975,0.99770212,8.975,0.99540812,8.975,0.99540424,8.975,0.99540424,8.975,0.99083084,8.975,0.99540812,8.975,0.99540424,8.975,0.99540424,8.975,0.99770212
8.976,1.0046157,8.976,0.99540424,8.976,0.99311554,8.976,0.99769682,8.976,0.99083084,8.976,0.9885568,8.976,0.99540424,8.976,0.99311554,8.976,0.99769682,8.976,0.99769682,8.976,0.99770212,8.976,0.99770212,8.976,0.99540424,8.976,0.99540424,8.976,0.99540424
8.977,1.0046157,8.977,0.99769682,8.977,0.99540424,8.977,0.99769682,8.977,0.99540812,8.977,0.99083227,8.977,0.99769682,8.977,0.99311298,8.977,0.99540031,8.977,0.99769682,8.977,0.99311298,8.977,0.99540812,8.977,0.99540424,8.977,0.99540424,8.977,0.99540424
8.978,1.0046157,8.978,0.99540031,8.978,0.99311298,8.978,0.99540031,8.978,0.99770212,8.978,0.98855019,8.978,0.99769682,8.978,0.99311298,8.978,0.99540031,8.978,0.99540031,8.978,0.99082959,8.978,0.99769682,8.978,0.99311298,8.978,0.99311298,8.978,0.99311298
8.979,1.004613,8.979,0.99540031,8.979,0.99311697,8.979,0.99311697,8.979,0.99082959,8.979,0.98627478,8.979,0.99311697,8.979,0.99311298,8.979,0.99311697,8.979,0.99311697,8.979,0.99769682,8.979,0.99769682,8.979,0.99540031,8.979,0.99311697,8.979,0.99540031
8.98,1.004613,8.98,0.99540961,8.98,0.99311697,8.98,0.99540961,8.98,0.99540031,8.98,0.98627478,8.98,0.99540031,8.98,0.99540031,8.98,0.99311697,8.98,0.99540961,8.98,0.99311697,8.98,0.99540031,8.98,0.99311697,8.98,0.99311697,8.98,0.99540031
8.981,1.0023032,8.981,0.99540961,8.981,0.99311697,8.981,0.99540961,8.981,0.99769682,8.981,0.98855013,8.981,0.99540961,8.981,0.99311697,8.981,0.99540961,8.981,0.99540961,8.981,0.99311298,8.981,0.99769819,8.981,0.99540961,8.981,0.99540961,8.981,0.99311697
8.982,1.004617,8.982,0.99540961,8.982,0.99311697,8.982,0.99540961,8.982,0.99083489,8.982,0.98855013,8.982,0.99311447,8.982,0.99311697,8.982,0.99311447,8.982,0.99540961,8.982,0.99540961,8.982,0.99540031,8.982,0.99540961,8.982,0.99311447,8.982,0.99540961
8.983,1.0023085,8.983,0.99311447,8.983,0.99311447,8.983,0.99311447,8.983,0.99540961,8.983,0.98855674,8.983,0.99540961,8.983,0.99083257,8.983,0.99311447,8.983,0.99311447,8.983,0.99082714,8.983,0.99769819,8.983,0.99311447,8.983,0.99311447,8.983,0.99311447
8.984,1.0023085,8.984,0.99540573,8.984,0.99311447,8.984,0.99540573,8.984,0.99311447,8.984,0.9862774,8.984,0.99311447,8.984,0.99083257,8.984,0.99540573,8.984,0.99311852,8.984,0.98855054,8.984,0.99770612,8.984,0.99311852,8.984,0.99540573,8.984,0.99311852
8.985,1,8.985,0.99311852,8.985,0.99083257,8.985,0.99540186,8.985,0.99311447,8.985,0.9862774,8.985,0.99311852,8.985,0.99311852,8.985,0.99311852,8.985,0.99540186,8.985,0.99311447,8.985,0.99540573,8.985,0.99311852,8.985,0.99311852,8.985,0.99311852
8.986,1.0023071,8.986,0.99540186,8.986,0.99083257,8.986,0.99540186,8.986,0.99770612,8.986,0.98855036,8.986,0.99540186,8.986,0.99311852,8.986,0.99311608,8.986,0.99540186,8.986,0.99083257,8.986,0.99770612,8.986,0.99540186,8.986,0.99540186,8.986,0.99311852
8.987,1.0046116,8.987,0.99540186,8.987,0.99311852,8.987,0.99540186,8.987,0.99311852,8.987,0.99082714,8.987,0.99540186,8.987,0.99083799,8.987,0.99311608,8.987,0.99540186,8.987,0.99540186,8.987,0.99311852,8.987,0.99540186,8.987,0.99540186,8.987,0.99083799
8.988,1.0046116,8.988,0.99311608,8.988,0.99311608,8.988,0.99311608,8.988,0.99311852,8.988,0.99082714,8.988,0.99311608,8.988,0.99083799,8.988,0.99541122,8.988,0.99311608,8.988,0.99540186,8.988,0.99769431,8.988,0.99311608,8.988,0.99311608,8.988,0.99311608
8.989,1.0022992,8.989,0.99541122,8.989,0.99311608,8.989,0.99541122,8.989,0.99540186,8.989,0.98628044,8.989,0.99311608,8.989,0.99083036,8.989,0.99312019,8.989,0.99541122,8.989,0.98855752,8.989,0.99541122,8.989,0.99083036,8.989,0.99312019,8.989,0.99312019
8.99,1.0022992,8.99,0.99312019,8.99,0.99083036,8.99,0.99312019,8.99,0.99083036,8.99,0.98855728,8.99,0.99312019,8.99,0.99312019,8.99,0.99312019,8.99,0.99312019,8.99,0.99083036,8.99,0.99541122,8.99,0.99541122,8.99,0.99312019,8.99,0.99312019
8.991,1.0046194,8.991,0.9954074,8.991,0.99312019,8.991,0.9954074,8.991,0.99770361,8.991,0.98855728,8.991,0.9954074,8.991,0.99312019,8.991,0.9954074,8.991,0.9954074,8.991,0.99311608,8.991,0.99541122,8.991,0.9954074,8.991,0.9954074,8.991,0.9954074
8.992,1.0046194,8.992,0.9954074,8.992,0.99312019,8.992,0.9954074,8.992,0.99770361,8.992,0.98855752,8.992,0.9954074,8.992,0.99311781,8.992,0.9954074,8.992,0.99311781,8.992,0.99311781,8.992,0.9954074,8.992,0.9954074,8.992,0.99311781,8.992,0.9954074
8.993,1.002303,8.993,0.9954074,8.993,0.99311781,8.993,0.99540359,8.993,0.99083036,8.993,0.98855752,8.993,0.99311781,8.993,0.99311781,8.993,0.99311781,8.993,0.99540359,8.993,0.9954074,8.993,0.99769849,8.993,0.9954074,8.993,0.99311781,8.993,0.99311781
8.994,1.002303,8.994,0.99540359,8.994,0.99311781,8.994,0.99540359,8.994,0.99769849,8.994,0.98628372,8.994,0.99311548,8.994,0.99540359,8.994,0.99311548,8.994,0.99540359,8.994,0.9954074,8.994,0.99769849,8.994,0.99540359,8.994,0.99540359,8.994,0.99540359
8.995,1.002303,8.995,0.99311548,8.995,0.99311548,8.995,0.99540645,8.995,0.9954074,8.995,0.98855132,8.995,0.99311548,8.995,0.99311781,8.995,0.99540645,8.995,0.99540645,8.995,0.99083495,8.995,0.99540359,8.995,0.99540359,8.995,0.99540645,8.995,0.99540359
8.996,1.0023017,8.996,0.99540645,8.996,0.99311548,8.996,0.99540645,8.996,0.99311548,8.996,0.99083585,8.996,0.99540645,8.996,0.99540645,8.996,0.99540645,8.996,0.99540645,8.996,0.99540359,8.996,0.99769986,8.996,0.99540645,8.996,0.99540645,8.996,0.99769986
8.997,1.0046138,8.997,0.99540645,8.997,0.99540645,8.997,0.99540645,8.997,0.99540645,8.997,0.99083585,8.997,0.99540645,8.997,0.9931131,8.997,0.9931131,8.997,0.99540645,8.997,0.99083495,8.997,0.99769986,8.997,0.99540645,8.997,0.99540645,8.997,0.99540645
8.998,1.0046138,8.998,0.9931131,8.998,0.99540645,8.998,0.99540269,8.998,0.99311548,8.998,0.98855829,8.998,0.99540269,8.998,0.9931131,8.998,0.99540269,8.998,0.99540269,8.998,0.99540645,8.998,0.99769986,8.998,0.99540645,8.998,0.9931131,8.998,0.9931131
8.999,1.0069299,8.999,0.99540269,8.999,0.9931131,8.999,0.99540269,8.999,0.9931131,8.999,0.98855829,8.999,0.99540269,8.999,0.99540269,8.999,0.99540269,8.999,0.99540269,8.999,0.99311548,8.999,0.99769986,8.999,0.99540269,8.999,0.99311757,8.999,0.99540269
9,1.0046177,9,0.99540561,9,0.9931131,9,0.99769604,9,0.99770135,9,0.99083495,9,0.99540561,9,0.99540269,9,0.99540561,9,0.99540561,9,0.99083322,9,0.99540269,9,0.99311757,9,0.99311757,9,0.99540269
9.001,1.0023055,9.001,0.99540561,9.001,0.99311757,9.001,0.99540561,9.001,0.99083322,9.001,0.98855209,9.001,0.99540561,9.001,0.99311757,9.001,0.99540561,9.001,0.99540561,9.001,0.99311757,9.001,0.99769604,9.001,0.99769604,9.001,0.99540561,9.001,0.99540269
9.002,1.0046147,9.002,0.99540561,9.002,0.99540561,9.002,0.99540561,9.002,0.99540561,9.002,0.99082744,9.002,0.99540561,9.002,0.99311757,9.002,0.99311513,9.002,0.99540561,9.002,0.99540269,9.002,0.99769604,9.002,0.99540561,9.002,0.99540561,9.002,0.99311757
9.003,1.0046147,9.003,0.99540561,9.003,0.99540561,9.003,0.99540561,9.003,0.99769604,9.003,0.99082744,9.003,0.99540561,9.003,0.99540561,9.003,0.99311513,9.003,0.99540561,9.003,0.99540561,9.003,0.99769604,9.003,0.99540561,9.003,0.99540561,9.003,0.99540561
9.004,1.0046147,9.004,0.99770433,9.004,0.99540561,9.004,0.99770433,9.004,0.99311757,9.004,0.99082744,9.004,0.99770433,9.004,0.99311513,9.004,0.99540854,9.004,0.99770433,9.004,0.99540561,9.004,1,9.004,0.99770433,9.004,0.99540854,9.004,0.99770433
9.005,1.0069346,9.005,0.99540854,9.005,0.99311513,9.005,0.99540854,9.005,0.99770433,9.005,0.99083322,9.005,0.9976989,9.005,0.99540854,9.005,0.9976989,9.005,0.99540854,9.005,0.99311513,9.005,1,9.005,0.99540854,9.005,0.99540854,9.005,0.99540854
9.006,1.0046185,9.006,0.9976989,9.006,0.99540854,9.006,0.99540478,9.006,0.99770433,9.006,0.98855323,9.006,0.99540478,9.006,0.99540854,9.006,0.99540478,9.006,0.9976989,9.006,0.99083155,9.006,1,9.006,1,9.006,0.99540478,9.006,0.99540854
9.007,1.0046185,9.007,0.99540478,9.007,0.99311966,9.007,0.99540478,9.007,0.99540854,9.007,0.98855323,9.007,0.99540478,9.007,0.99311966,9.007,0.99540478,9.007,0.99540478,9.007,1,9.007,0.9976989,9.007,0.9976989,9.007,0.99540478,9.007,0.99540854
9.008,1.0046155,9.008,0.99540478,9.008,0.99540478,9.008,0.99540478,9.008,1,9.008,0.99083233,9.008,0.99540478,9.008,0.99311966,9.008,0.99770057,9.008,0.99540478,9.008,0.99311966,9.008,0.9976989,9.008,0.99540478,9.008,0.99540478,9.008,0.9976989
9.009,1.0046155,9.009,0.99770057,9.009,0.99540478,9.009,0.99770057,9.009,0.9976989,9.009,0.99083233,9.009,0.99540478,9.009,0.9931106,9.009,0.9931106,9.009,0.99770057,9.009,0.99540478,9.009,1,9.009,0.9976989,9.009,0.99540478,9.009,0.99540478
9.01,1.0069326,9.01,0.99770057,9.01,0.99540478,9.01,0.99770057,9.01,0.99540478,9.01,0.99311513,9.01,0.99540108,9.01,0.99540478,9.01,0.99769521,9.01,0.99770057,9.01,0.99770057,9.01,1,9.01,0.99770057,9.01,0.99770057,9.01,0.99770057
9.011,1.0069326,9.011,0.99769521,9.011,0.99540478,9.011,1,9.011,1,9.011,0.99083155,9.011,0.99769521,9.011,0.99540108,9.011,0.99769521,9.011,1,9.011,0.9931106,9.011,0.99770057,9.011,1,9.011,0.99770057,9.011,0.99770057
9.012,1.0069326,9.012,0.99769521,9.012,0.99540108,9.012,0.99769521,9.012,0.99540478,9.012,0.98854786,9.012,1,9.012,0.99540108,9.012,0.99769521,9.012,0.99769521,9.012,0.99770057,9.012,1,9.012,1,9.012,0.99769521,9.012,0.99540108
9.013,1.0069326,9.013,0.99769521,9.013,0.99540108,9.013,0.99769521,9.013,0.9931106,9.013,0.99083155,9.013,0.99769521,9.013,0.99311531,9.013,0.99540412,9.013,0.99769521,9.013,0.99770057,9.013,1,9.013,0.99769521,9.013,0.99769521,9.013,0.99540108
9.014,1.0092533,9.014,0.99540412,9.014,0.99769521,9.014,0.99540412,9.014,1,9.014,0.99311966,9.014,0.99540412,9.014,0.99540412,9.014,0.99540412,9.014,0.99540412,9.014,0.9931106,9.014,1,9.014,1,9.014,0.99540412,9.014,0.99769521
9.015,1.006928,9.015,0.99540412,9.015,0.99769521,9.015,0.99770367,9.015,0.99769521,9.015,0.99083155,9.015,1,9.015,0.99311531,9.015,0.99770367,9.015,0.99770367,9.015,0.99769521,9.015,1.0023047,9.015,0.99769521,9.015,0.99540412,9.015,0.99769521
9.016,1.0092542,9.016,0.99770367,9.016,0.99769521,9.016,0.99770367,9.016,1.0023102,9.016,0.99311966,9.016,0.99540412,9.016,0.99540412,9.016,0.99770367,9.016,0.99770367,9.016,0.99770057,9.016,1.0023102,9.016,0.99540412,9.016,0.99770367,9.016,0.99770367
9.017,1.0092542,9.017,1,9.017,0.99540412,9.017,1,9.017,1,9.017,0.9931106,9.017,0.99770367,9.017,0.99540412,9.017,1,9.017,1,9.017,0.99540412,9.017,0.99770367,9.017,1.0023102,9.017,0.99770367,9.017,0.99770367
9.018,1.006928,9.018,1,9.018,0.99540412,9.018,1,9.018,0.99540412,9.018,0.99540478,9.018,0.99770367,9.018,0.99540412,9.018,0.99769825,9.018,1,9.018,0.99770367,9.018,1,9.018,1,9.018,1,9.018,0.99770367
9.019,1.0092542,9.019,0.99769825,9.019,0.99770367,9.019,0.99769825,9.019,1.0046171,9.019,0.9931106,9.019,1,9.019,0.99770367,9.019,0.99769825,9.019,0.99769825,9.019,0.99769521,9.019,1.0023102,9.019,1,9.019,1,9.019,1
9.02,1.0069373,9.02,0.99769825,9.02,0.99770367,9.02,0.99769825,9.02,1,9.02,0.9931106,9.02,0.99770367,9.02,0.99770367,9.02,1,9.02,0.99769825,9.02,1,9.02,1.0023016,9.02,1,9.02,1,9.02,1
9.021,1.0092548,9.021,1,9.021,0.99540722,9.021,0.99769825,9.021,0.99540412,9.021,0.9931106,9.021,1,9.021,1,9.021,1,9.021,0.99769825,9.021,1.0023016,9.021,1.0023016,9.021,1,9.021,1,9.021,1
9.022,1.0092548,9.022,1,9.022,0.99769825,9.022,1,9.022,1.0023016,9.022,0.9931106,9.022,1,9.022,0.99769825,9.022,1,9.022,1,9.022,0.99770367,9.022,1.0023016,9.022,1,9.022,1,9.022,1
9.023,1.0092548,9.023,1,9.023,0.99540722,9.023,1,9.023,0.99540722,9.023,0.99311531,9.023,1,9.023,0.99769825,9.023,1,9.023,1,9.023,0.99769825,9.023,1.0023071,9.023,1,9.023,1,9.023,0.99769825
9.024,1.0092548,9.024,1,9.024,0.99769825,9.024,1,9.024,0.99769825,9.024,0.99540108,9.024,1,9.024,0.99769825,9.024,1,9.024,1,9.024,1,9.024,1.004614,9.024,1,9.024,1.0023071,9.024,1
9.025,1.0115832,9.025,1,9.025,1,9.025,1,9.025,1,9.025,0.99311531,9.025,1.0023071,9.025,1,9.025,1,9.025,1,9.025,0.99769825,9.025,1.0023071,9.025,1.0023071,9.025,1,9.025,1.0023071
9.026,1.0115832,9.026,1.0023054,9.026,1,9.026,1,9.026,1,9.026,0.99769521,9.026,1,9.026,0.99769825,9.026,1.0023054,9.026,1,9.026,1.0023071,9.026,1.0023071,9.026,1.0023071,9.026,1,9.026,1
9.027,1.0115832,9.027,1.0023054,9.027,1,9.027,1.0023054,9.027,1,9.027,0.99769521,9.027,1,9.027,1,9.027,1.0023054,9.027,1.0023054,9.027,1.0023016,9.027,1.0023071,9.027,1,9.027,1,9.027,1
9.028,1.0115832,9.028,1,9.028,1,9.028,1.0023054,9.028,1.0023071,9.028,0.99540412,9.028,1.0046178,9.028,1,9.028,1.0023054,9.028,1.0023054,9.028,0.99540347,9.028,1.0023071,9.028,1.0023071,9.028,1.0023054,9.028,1
9.029,1.0115832,9.029,1.0023054,9.029,1,9.029,1.0023054,9.029,0.99769825,9.029,0.99311298,9.029,1.0023054,9.029,1,9.029,1,9.029,1.0023054,9.029,1.0023071,9.029,1.0023071,9.029,1.0046178,9.029,1.0023054,9.029,1.0023054
9.03,1.0139153,9.03,1.0023054,9.03,1,9.03,1.0023054,9.03,1.0023054,9.03,0.99769521,9.03,1.0023054,9.03,1.0023054,9.03,1.0046145,9.03,1,9.03,1,9.03,1.0023054,9.03,1.0023054,9.03,1.0023054,9.03,1.0023054
9.031,1.0139153,9.031,1.0046145,9.031,1.0023054,9.031,1.0046145,9.031,1,9.031,0.99540412,9.031,1.0046178,9.031,1,9.031,1.0046145,9.031,1.0046145,9.031,1.0023054,9.031,1.0023071,9.031,1.0046178,9.031,1.0023054,9.031,1.0023054
9.032,1.0139153,9.032,1.0023037,9.032,1,9.032,1.0046145,9.032,1.0023054,9.032,0.99540412,9.032,1,9.032,1,9.032,1.0023037,9.032,1.0046145,9.032,1,9.032,1.00693,9.032,1.0023054,9.032,1.0023054,9.032,1.0023054
9.033,1.0162511,9.033,1.0046145,9.033,1.0023054,9.033,1.0023037,9.033,1.0023054,9.033,0.99769521,9.033,1.0023054,9.033,1,9.033,1.0023037,9.033,1.0046145,9.033,0.99769825,9.033,1.0046178,9.033,1.0023054,9.033,1.0023054,9.033,1.0023054
9.034,1.0139153,9.034,1.0046145,9.034,1.0023054,9.034,1.0046145,9.034,0.99769825,9.034,0.99311298,9.034,1.0023054,9.034,1,9.034,1.0046145,9.034,1.0023037,9.034,1,9.034,1.0046178,9.034,1.0046178,9.034,1.0023054,9.034,1.0023054
9.035,1.0139153,9.035,1.0046145,9.035,1,9.035,1.0046145,9.035,1,9.035,0.99769521,9.035,1.0023054,9.035,1.0023054,9.035,1.0046145,9.035,1.0046145,9.035,1.0023071,9.035,1.0046178,9.035,1.0023054,9.035,1.0023054,9.035,1.0023054
9.036,1.0162511,9.036,1.0046145,9.036,1.0023054,9.036,1.0046145,9.036,1.0046178,9.036,0.99540412,9.036,1.0023054,9.036,1,9.036,1.0046145,9.036,1.0046145,9.036,1.0023054,9.036,1.0046178,9.036,1.0046178,9.036,1.0023054,9.036,1.0023054
9.037,1.0115832,9.037,1.0046145,9.037,1,9.037,1.0046145,9.037,1.0046178,9.037,0.99540412,9.037,1.0046178,9.037,1,9.037,1.0046145,9.037,1.0046145,9.037,1.0023054,9.037,1.00693,9.037,1.0023054,9.037,1.0023054,9.037,1.0023054
9.038,1.0162511,9.038,1.0046145,9.038,1.0023054,9.038,1.0046145,9.038,1,9.038,0.99769521,9.038,1.0023054,9.038,1.0023054,9.038,1.0046145,9.038,1.0046145,9.038,1.0046178,9.038,1.0069321,9.038,1.0023054,9.038,1.0023054,9.038,1.0023054
9.039,1.0139153,9.039,1.0046145,9.039,1.0023054,9.039,1.0046145,9.039,1.0046178,9.039,0.99540412,9.039,1.0023054,9.039,1.0023054,9.039,1.0046145,9.039,1.0046145,9.039,1,9.039,1.0069321,9.039,1.0046178,9.039,1.0023054,9.039,1.0023054
9.04,1.0139153,9.04,1.0046145,9.04,1.0023054,9.04,1.0046145,9.04,1.0023054,9.04,0.99540412,9.04,1.0046178,9.04,1.0023054,9.04,1.0046145,9.04,1.0046145,9.04,1.0046178,9.04,1.0069321,9.04,1.0046178,9.04,1.0046178,9.04,1.0023054
9.041,1.0162511,9.041,1.0046145,9.041,1.0023054,9.041,1.0046145,9.041,1,9.041,0.99769521,9.041,1.0069321,9.041,1.0046178,9.041,1.0046145,9.041,1.0046145,9.041,1.0023071,9.041,1.0046178,9.041,1.0046178,9.041,1.0069321,9.041,1.0046178
9.042,1.0162511,9.042,1.0046145,9.042,1.0046145,9.042,1.0046145,9.042,1.00693,9.042,0.99769521,9.042,1.0046178,9.042,1.0023054,9.042,1.0046145,9.042,1.0046145,9.042,1.0023054,9.042,1.0069321,9.042,1.0046178,9.042,1.0023054,9.042,1.0069321
9.043,1.0162511,9.043,1.0046145,9.043,1.0023054,9.043,1.0046145,9.043,1,9.043,0.99769521,9.043,1.0069321,9.043,1.0023054,9.043,1.0046145,9.043,1.0046145,9.043,1.0046178,9.043,1.0092497,9.043,1.0069321,9.043,1.0069321,9.043,1.0046145
9.044,1.0185895,9.044,1.0046145,9.044,1.0046145,9.044,1.0046145,9.044,1.0069321,9.044,0.99769521,9.044,1.0046145,9.044,1.0023054,9.044,1.0046145,9.044,1.0046145,9.044,0.99769825,9.044,1.0046178,9.044,1.0046178,9.044,1.0046145,9.044,1.0046145
9.045,1.0185895,9.045,1.0046145,9.045,1.0023054,9.045,1.0046145,9.045,1.0046178,9.045,0.99540412,9.045,1.0046178,9.045,1.0023054,9.045,1.0046145,9.045,1.0046145,9.045,1.0023054,9.045,1.0046178,9.045,1.00693,9.045,1.0069321,9.045,1.0069321
9.046,1.0139153,9.046,1.0046145,9.046,1.0023054,9.046,1.0046145,9.046,1,9.046,0.99769521,9.046,1.0069321,9.046,1.0023054,9.046,1.0046145,9.046,1.0046145,9.046,1.0046178,9.046,1.0069321,9.046,1.0046178,9.046,1.0069321,9.046,1.0046145
9.047,1.0185895,9.047,1.0046145,9.047,1.0023054,9.047,1.0046145,9.047,1.00693,9.047,0.99769521,9.047,1.0046178,9.047,1.0046178,9.047,1.0046145,9.047,1.0046145,9.047,1.0023016,9.047,1.0046178,9.047,1.0046178,9.047,1.0046178,9.047,1.0046178
9.048,1.0185895,9.048,1.0046145,9.048,1.0023054,9.048,1.0046145,9.048,1.00693,9.048,0.99769521,9.048,1.0069321,9.048,1.0046178,9.048,1.0046145,9.048,1.0046145,9.048,1.0046178,9.048,1.0069321,9.048,1.0046178,9.048,1.0046178,9.048,1.0046178
9.049,1.0162483,9.049,1.0046145,9.049,1.0023054,9.049,1.0046145,9.049,1.0046178,9.049,0.99769521,9.049,1.0046178,9.049,1.0046178,9.049,1.0046145,9.049,1.0046145,9.049,1.0092561,9.049,1.0092561,9.049,1.0046178,9.049,1.0046178,9.049,1.0046178
9.05,1.0185895,9.05,1.0069321,9.05,1.0046178,9.05,1.0046145,9.05,1.0092561,9.05,0.99769521,9.05,1.0046178,9.05,1.0046178,9.05,1.0046145,9.05,1.0046145,9.05,1.0023071,9.05,1.0046178,9.05,1.0046178,9.05,1.0046178,9.05,1.0046178
9.051,1.0209416,9.051,1.0069321,9.051,1.0046178,9.051,1.0046145,9.051,1.0023071,9.051,1,9.051,1.00693,9.051,1.0046178,9.051,1.0069321,9.051,1.0069321,9.051,1.0046178,9.051,1.00693,9.051,1.00693,9.051,1.0046178,9.051,1.0046178
9.052,1.0162522,9.052,1.0069321,9.052,1.0023071,9.052,1.0069321,9.052,1.0046171,9.052,1,9.052,1.0046178,9.052,1.0046178,9.052,1.0069321,9.052,1.0069321,9.052,1.0069348,9.052,1.0092561,9.052,1.0046178,9.052,1.0046178,9.052,1.0046178
9.053,1.0185951,9.053,1.0069321,9.053,1.0023071,9.053,1.0069321,9.053,1.0092561,9.053,0.99769521,9.053,1.0046178,9.053,1.0046178,9.053,1.0069321,9.053,1.0069321,9.053,1.00693,9.053,1.00693,9.053,1.00693,9.053,1.0046178,9.053,1.0046178
9.054,1.0185951,9.054,1.0069321,9.054,1.004614,9.054,1.0069321,9.054,1.004614,9.054,1,9.054,1.0046178,9.054,1.0046178,9.054,1.0069321,9.054,1.0069321,9.054,1.0092561,9.054,1.0092561,9.054,1.0046178,9.054,1.00693,9.054,1.0046178
9.055,1.0185951,9.055,1.0069321,9.055,1.00693,9.055,1.0092497,9.055,1.0092561,9.055,1,9.055,1.0046178,9.055,1.0046178,9.055,1.0069321,9.055,1.0069321,9.055,1.0046171,9.055,1.0115823,9.055,1.00693,9.055,1.0046178,9.055,1.00693
9.056,1.0185951,9.056,1.0069321,9.056,1.00693,9.056,1.0069321,9.056,1.0069348,9.056,0.99769521,9.056,1.0092561,9.056,1.0046178,9.056,1.0069321,9.056,1.0092497,9.056,1.00693,9.056,1.0092561,9.056,1.0092561,9.056,1.00693,9.056,1.00693
9.057,1.013913,9.057,1.0092497,9.057,1.004614,9.057,1.0092497,9.057,1.0023016,9.057,1.0023047,9.057,1.00693,9.057,1.0046178,9.057,1.0069321,9.057,1.0092497,9.057,1.0069348,9.057,1.0115823,9.057,1.00693,9.057,1.00693,9.057,1.00693
9.058,1.0185951,9.058,1.0092497,9.058,1.00693,9.058,1.00693,9.058,1.0092561,9.058,0.99769521,9.058,1.00693,9.058,1.00693,9.058,1.0092497,9.058,1.0046178,9.058,1.0092561,9.058,1.0092561,9.058,1.00693,9.058,1.00693,9.058,1.00693
9.059,1.0185951,9.059,1.00693,9.059,1.004614,9.059,1.0092497,9.059,1.0069348,9.059,1.0023047,9.059,1.00693,9.059,1.0023071,9.059,1.0092497,9.059,1.0092497,9.059,1.00693,9.059,1.0069348,9.059,1.0092561,9.059,1.00693,9.059,1.00693
9.06,1.0162522,9.06,1.00693,9.06,1.004614,9.06,1.0092497,9.06,1.004614,9.06,1,9.06,1.00693,9.06,1.0046178,9.06,1.0092497,9.06,1.0092497,9.06,1.0046171,9.06,1.0115823,9.06,1.00693,9.06,1.00693,9.06,1.00693
9.061,1.0185951,9.061,1.00693,9.061,1.00693,9.061,1.00693,9.061,1.0092561,9.061,1.0023047,9.061,1.0092561,9.061,1.004614,9.061,1.0092497,9.061,1.00693,9.061,1.0023016,9.061,1.0069348,9.061,1.0092561,9.061,1.00693,9.061,1.00693
9.062,1.0162522,9.062,1.00693,9.062,1.004614,9.062,1.00693,9.062,1.0046171,9.062,1.0023047,9.062,1.0092561,9.062,1.004614,9.062,1.00693,9.062,1.00693,9.062,1.0069348,9.062,1.0092554,9.062,1.0092561,9.062,1.00693,9.062,1.00693
9.063,1.0185951,9.063,1.00693,9.063,1.004614,9.063,1.00693,9.063,1.0023016,9.063,1,9.063,1.0046178,9.063,1.0092561,9.063,1.00693,9.063,1.00693,9.063,1.0069324,9.063,1.0092561,9.063,1.00693,9.063,1.00693,9.063,1.00693
9.064,1.0185951,9.064,1.0092561,9.064,1.004614,9.064,1.00693,9.064,1.0092561,9.064,1.0023047,9.064,1.00693,9.064,1.004614,9.064,1.0092497,9.064,1.00693,9.064,1.00693,9.064,1.0069348,9.064,1.0092561,9.064,1.0092561,9.064,1.00693
9.065,1.0185937,9.065,1.00693,9.065,1.0069348,9.065,1.00693,9.065,1.0046171,9.065,1.0023047,9.065,1.0092561,9.065,1.0023071,9.065,1.00693,9.065,1.00693,9.065,1.0046171,9.065,1.0092554,9.065,1.0092561,9.065,1.0092561,9.065,1.00693
9.066,1.0185951,9.066,1.00693,9.066,1.0069348,9.066,1.0092561,9.066,1.0092561,9.066,1,9.066,1.0092561,9.066,1.004614,9.066,1.00693,9.066,1.00693,9.066,1.0046171,9.066,1.0069348,9.066,1.0092561,9.066,1.0092561,9.066,1.00693
9.067,1.0162522,9.067,1.0092561,9.067,1.004614,9.067,1.00693,9.067,1.0092561,9.067,1.0023047,9.067,1.00693,9.067,1.004614,9.067,1.00693,9.067,1.00693,9.067,1.004614,9.067,1.0092554,9.067,1.0069348,9.067,1.00693,9.067,1.00693
9.068,1.013913,9.068,1.0092561,9.068,1.004614,9.068,1.00693,9.068,1.0046171,9.068,1,9.068,1.0092561,9.068,1.004614,9.068,1.00693,9.068,1.00693,9.068,1.0069348,9.068,1.00693,9.068,1.00693,9.068,1.00693,9.068,1.00693
